#{"t_start": 1654177183.884972, "env_id": "BipedalWalker-v3"}
r,l,t
-234.749774,1543,13.583743
-102.582102,71,14.614956
-100.310473,93,15.431333
-108.687163,93,16.317325
-124.33102,1600,47.458318
-95.696575,1600,78.609183
-101.885682,71,79.22027
-122.05058,103,80.091897
-119.050407,107,81.018409
-117.628823,73,81.659016
-104.013603,65,82.222929
-117.178211,55,83.02897
-102.666538,57,83.529936
-99.667942,69,84.124961
-103.394127,49,84.549773
-103.037512,82,85.255404
-107.179276,59,85.76482
-98.612851,62,86.289384
-102.604033,1600,117.230975
-124.228622,1600,153.262529
-121.204827,112,154.199047
-104.569277,1600,195.040826
-105.213547,1600,235.597205
-87.773006,1600,260.091555
-87.85063,1600,300.606526
-98.176876,1600,341.108768
-78.885417,1600,386.494768
-82.159259,1600,410.28239
-68.426594,1600,451.74744
-65.328579,1600,493.031112
-73.155628,1600,533.953571
-53.822792,1600,574.430935
-48.479295,1600,598.029577
-24.934559,1600,638.52086
-50.289033,1600,679.027714
-20.563571,1600,719.136721
-19.128058,1600,742.655932
-3.415459,1600,783.034898
-15.778401,1600,823.988786
7.837528,1600,865.030364
2.06573,1600,905.96764
20.988463,1600,929.654955
41.477171,1600,970.422576
50.0628,1600,1011.189215
70.557096,1600,1050.454187
68.972682,1600,1087.997248
79.79545,1600,1110.120429
87.792906,1600,1154.832926
-90.692259,211,1156.581917
93.917899,1600,1196.13662
108.357928,1600,1233.896198
93.359544,1600,1274.714931
107.683919,1600,1295.253155
107.771355,1600,1336.383222
117.860481,1600,1376.843245
121.031943,1600,1417.348579
126.607863,1600,1440.382087
147.504107,1600,1478.92473
162.638905,1600,1518.230434
157.964397,1600,1556.831825
155.021564,1600,1596.143376
143.501628,1600,1617.825606
141.290491,1600,1657.535405
178.524357,1600,1702.884953
-60.326033,346,1705.710444
186.798871,1600,1745.246144
191.550048,1600,1785.367238
-52.50437,496,1794.118467
197.917327,1600,1833.104065
183.077431,1600,1854.523046
220.348745,1600,1892.89261
205.136626,1600,1930.595899
236.759916,1600,1969.800138
204.263072,1600,2009.086735
198.252399,1600,2029.930393
240.514928,1600,2068.975209
237.025713,1600,2107.761636
226.475958,1600,2146.304034
256.143817,1549,2167.267771
246.8234,1600,2205.820225
238.901093,1600,2244.21581
255.030904,1574,2282.392759
251.606189,1562,2319.833562
256.381191,1553,2340.372903
256.343594,1543,2380.863928
-38.378702,396,2387.959192
258.646492,1492,2424.995159
257.404103,1502,2461.569001
253.412339,1546,2480.637402
261.964908,1467,2512.997119
263.580905,1398,2548.662152
252.785197,1553,2585.519699
258.741407,1521,2605.744665
252.003685,1578,2642.68916
254.98506,1505,2679.567364
254.917604,1546,2716.990985
256.844461,1469,2736.65436
256.981542,1486,2773.494274
112.340542,1347,2809.07582
255.304693,1511,2829.223687
263.332964,1447,2862.261732
257.358953,1453,2898.142057
261.824399,1425,2934.33257
257.787698,1444,2953.44668
257.191639,1443,2989.054086
-15.504613,611,2997.819803
257.408894,1453,3030.254891
122.599514,1353,3065.378081
264.851199,1382,3084.015589
250.258527,1550,3119.729326
257.821605,1483,3155.571254
251.695038,1489,3192.060094
254.578715,1471,3211.575838
254.311207,1473,3250.75387
262.890477,1406,3283.028651
260.822327,1431,3301.650615
259.668134,1424,3337.443281
259.594529,1448,3373.500413
250.567251,1520,3393.48242
128.651482,1320,3424.814039
