#{"t_start": 1675763929.4110835, "env_id": "CarRacing-v0"}
r,l,t
-75.609756,1000,26.367347
-30.921053,1000,54.881905
-47.183099,1000,85.377067
-23.322684,1000,115.241909
-13.357401,1000,144.36053
-35.897436,1000,173.648745
-45.205479,1000,258.033149
-23.344948,1000,286.350822
-29.104478,1000,315.967349
-22.222222,1000,345.655983
-19.093851,1000,374.512584
-13.194444,1000,403.492097
-21.428571,1000,489.475983
-28.783383,1000,520.145852
-24.76489,1000,549.89094
-17.602996,1000,579.356225
43.333333,1000,608.133639
-11.032028,1000,638.74686
4.316547,1000,724.119198
-27.868852,1000,754.232638
183.828383,1000,784.152455
-32.944606,1000,813.082398
50.159744,1000,842.215715
-14.191419,1000,872.669386
-20.415225,1000,902.267904
-18.088737,1000,990.092862
-18.831169,1000,1019.157872
-26.253687,1000,1048.546938
-27.868852,1000,1078.152999
82.795699,1000,1108.427063
-9.090909,1000,1135.612362
-36.639118,1000,1204.137915
-23.076923,1000,1226.352439
-15.750916,1000,1247.942186
-18.439716,1000,1269.160202
-35.57423,1000,1291.022284
-29.411765,1000,1312.594627
-19.463087,1000,1377.992867
-19.014085,1000,1399.419814
-12.878788,1000,1422.054031
-25.423729,1000,1443.616547
-14.179104,1000,1465.323517
261.403509,1000,1483.730386
38.888889,1000,1550.293447
64.086687,1000,1572.328372
30.434783,1000,1593.296958
62.962963,1000,1615.59405
-18.439716,1000,1637.245779
40.522876,1000,1658.436719
133.676976,1000,1680.924299
243.065693,1000,1746.251337
39.285714,1000,1767.664923
142.718447,1000,1789.764518
69.230769,1000,1810.506516
75.675676,1000,1831.492421
39.751553,1000,1853.050683
23.674912,1000,1918.413855
-19.708029,1000,1938.537071
-11.971831,1000,1960.609306
278.091873,1000,1982.33704
-17.293233,1000,2004.13966
-26.045016,1000,2026.662107
345.482866,1000,2094.393943
-3.100775,1000,2115.64567
-23.076923,1000,2138.36753
31.661442,1000,2160.92221
426.690391,1000,2182.346676
291.941392,1000,2203.512216
236.507937,1000,2268.626479
43.968872,1000,2289.29756
108.860759,1000,2309.992877
151.851852,1000,2330.832991
314.012739,1000,2351.14726
-17.293233,1000,2372.40861
196.703297,1000,2393.775725
49.206349,1000,2461.113494
43.712575,1000,2482.38104
171.084337,1000,2504.260655
367.353952,1000,2524.972093
260.424028,1000,2546.388206
359.074733,1000,2567.768668
549.635036,1000,2631.628032
24.528302,1000,2652.286718
237.5,1000,2674.459231
296.296296,1000,2695.328359
380.427046,1000,2712.915675
96.721311,1000,2733.747749
31.086142,1000,2796.965235
373.484848,1000,2816.33147
253.146853,1000,2836.432822
172.727273,1000,2858.382056
176.094276,1000,2879.808282
-80.456026,1000,2901.163642
161.146497,1000,2966.137932
330.604982,1000,2987.256107
-28.571429,1000,3007.349709
255.263158,1000,3028.541424
222.463768,1000,3049.592098
366.442953,1000,3070.300652
-62.406015,1000,3092.024267
126.006192,1000,3157.434052
605.035971,1000,3178.13571
140.131579,1000,3199.314624
17.021277,1000,3220.671317
3.151862,1000,3240.24136
60.409556,1000,3261.014405
132.919255,1000,3327.316669
346.043165,1000,3348.951044
212.977099,1000,3370.266756
210.810811,1000,3391.894874
199.674267,1000,3413.08239
57.706093,1000,3434.634395
324.137931,1000,3500.487039
185.714286,1000,3520.619853
136.486486,1000,3542.541459
149.158249,1000,3562.557489
-74.910394,1000,3582.202597
118.75,1000,3602.922331
202.325581,1000,3668.198725
19.402985,1000,3689.10233
64.383562,1000,3711.701654
464.935065,1000,3733.133092
437.414966,1000,3754.170275
290.163934,1000,3775.889831
170.175439,1000,3796.973479
149.230769,1000,3860.717184
135.294118,1000,3880.817397
267.491166,1000,3898.361593
309.638554,1000,3918.927088
157.142857,1000,3939.87185
-78.193146,1000,3960.751876
-22.807018,1000,4026.198816
108.074534,1000,4047.448409
552.777778,1000,4068.61805
316.403785,1000,4090.048501
239.84375,1000,4110.27407
78.294574,1000,4131.251938
219.727891,1000,4199.032941
142.214533,1000,4221.099627
217.460317,1000,4241.941789
305.228758,1000,4264.048005
451.839465,1000,4285.314244
518.243243,1000,4306.298175
579.841897,1000,4374.565903
-16.981132,1000,4396.68899
27.516779,1000,4417.164642
519.52862,1000,4438.352159
37.184116,1000,4459.492106
-33.333333,1000,4479.759027
236.956522,1000,4501.153357
480.071174,1000,4565.037133
349.180328,1000,4585.548834
280.804954,1000,4606.642864
254.83871,1000,4628.702441
575.471698,1000,4649.688218
-84.848485,1000,4670.984188
212.977099,1000,4736.079182
20.300752,1000,4757.12594
74.050633,1000,4777.646346
608.154506,1000,4798.778844
169.784173,1000,4818.785281
414.851485,1000,4839.828038
299.339934,1000,4903.72783
197.945205,1000,4924.72542
228.571429,1000,4944.782743
267.088608,1000,4966.287118
-32.258065,1000,4987.616719
40.468227,1000,5007.824026
-73.684211,1000,5073.869984
231.189711,1000,5095.706078
-16.967509,1000,5113.09652
-16.666667,1000,5133.29957
-32.038835,1000,5155.649213
-28.783383,1000,5177.953828
76.470588,1000,5198.61081
-31.596091,1000,5261.541755
-19.54023,1000,5281.960683
229.896907,1000,5302.997076
-13.793103,1000,5324.428072
-29.054054,1000,5345.679188
246.007605,1000,5365.486357
243.137255,1000,5428.361399
271.428571,1000,5449.505947
285.76779,1000,5469.605984
-23.076923,1000,5489.710376
176.397516,1000,5512.137132
295.522388,1000,5534.483677
297.683398,1000,5603.216849
407.246377,1000,5625.902762
176.872964,1000,5647.36545
306.976744,1000,5667.360766
-28.082192,1000,5688.589912
183.076923,1000,5710.800886
324.657534,1000,5776.806224
441.09589,1000,5797.976108
147.619048,1000,5819.548657
331.095406,1000,5838.93526
26.54321,1000,5859.024968
260.128617,1000,5879.600768
537.992832,1000,5899.342849
251.851852,1000,5962.136969
310.358566,1000,5983.336165
355.830389,1000,6003.25575
-7.849829,1000,6023.311277
60.120846,1000,6045.494495
170.029674,1000,6066.324743
138.562092,1000,6128.567944
573.202614,1000,6148.293324
41.37931,1000,6167.483133
1.694915,1000,6187.080596
45.962733,1000,6206.507633
-0.332226,1000,6225.74063
621.189591,1000,6286.345148
633.840304,1000,6303.186929
351.263538,1000,6322.613557
197.213622,1000,6342.113372
106.153846,1000,6361.902362
251.973684,1000,6381.248189
282.142857,1000,6442.923171
56.666667,1000,6462.903784
359.074733,1000,6482.11569
-2.684564,1000,6502.013413
334.306569,1000,6521.722551
15.755627,1000,6540.811393
-23.076923,1000,6560.208363
56.934307,1000,6621.406964
-10.25641,1000,6640.317134
34.556575,1000,6660.454841
-27.083333,1000,6679.612414
381.355932,1000,6698.895875
-22.829582,1000,6718.95015
259.430605,1000,6780.339842
204.347826,1000,6799.805864
378.114478,1000,6819.664972
544.927536,1000,6838.739187
256.466877,1000,6858.059918
67.832168,1000,6878.059694
131.270358,1000,6939.324958
486.872587,1000,6959.127754
326.229508,1000,6979.033083
-25.925926,1000,6998.380493
-14.285714,1000,7017.911256
340.789474,1000,7037.360732
21.527778,1000,7098.364722
174.143302,1000,7118.711938
-12.408759,1000,7137.728689
207.692308,1000,7157.450746
472.519084,1000,7177.088022
391.856678,1000,7196.19199
-24.657534,1000,7215.728751
-19.847328,1000,7276.87805
-30.30303,1000,7295.842791
-31.818182,1000,7315.41895
179.220779,1000,7335.382149
250.943396,1000,7355.37484
577.042802,1000,7372.695673
181.954887,1000,7435.614365
463.432836,1000,7454.980395
255.140187,1000,7474.848091
80.0,1000,7494.419302
255.400697,1000,7513.333215
184.671533,1000,7532.320346
287.096774,1000,7594.827455
34.751773,1000,7613.613559
242.756184,1000,7633.802776
216.993464,1000,7653.591055
339.688716,1000,7673.017069
380.565371,1000,7693.511272
281.538462,1000,7755.417568
48.854962,1000,7774.501335
48.0,1000,7794.537469
269.649805,1000,7814.110988
392.753623,1000,7834.084459
450.17301,1000,7854.057478
306.666667,1000,7873.433926
222.033898,1000,7934.921213
294.463668,1000,7954.552494
254.166667,1000,7973.970636
322.297297,1000,7994.113869
31.386861,1000,8013.677599
31.034483,1000,8033.12755
181.818182,1000,8094.945107
-37.313433,1000,8114.922344
215.960912,1000,8134.258662
295.638629,1000,8154.53182
62.54417,1000,8173.760145
345.692884,1000,8192.606958
28.472222,1000,8254.577949
-29.530201,1000,8274.084409
281.118881,1000,8293.705901
192.168675,1000,8313.700413
227.464789,1000,8332.978801
47.909968,1000,8352.297421
26.760563,1000,8414.446778
250.0,1000,8434.359526
300.0,1000,8454.673509
68.582375,1000,8474.689764
208.550186,1000,8494.808308
174.509804,1000,8512.45833
248.684211,1000,8532.880161
207.984791,1000,8595.376132
43.382353,1000,8615.049857
456.701031,1000,8635.194621
377.351916,1000,8654.71154
274.558304,1000,8675.63337
70.289855,1000,8694.768546
274.193548,1000,8757.248825
23.333333,1000,8777.065973
