#{"t_start": 1680170597.424357, "env_id": "MiniGrid-Fetch-5x5-N2-v0"}
r,l,t
0,125,1.381391
0.8056,27,2.042919
0,41,2.14514
0,13,2.178203
0.2584,103,2.997494
0,125,3.857529
0,18,3.903114
0.8992,14,3.937082
0.6832,44,4.042772
0,1,4.045882
0.8776,17,4.658848
0.2368,106,4.920978
0,106,5.757144
0,15,5.794665
0,94,6.588063
0.9856,2,6.593716
0.9712,4,6.604554
0,25,6.667151
0,21,7.307006
0.9064,13,7.340397
0,37,7.429608
0.7336,37,7.517726
0.928,10,7.541357
0,36,8.21615
0,19,8.263495
0,11,8.291353
0.9424,8,8.31202
0.7984,28,8.381148
0.9352,9,8.404668
0.9352,9,8.426304
0.9712,4,8.436126
0,36,9.100199
0,15,9.139154
0.5104,68,9.306585
0,89,10.092684
0,13,10.125884
0.8776,17,10.170712
0.7912,29,10.240389
0.9784,3,10.24827
0,125,11.057328
0.712,40,11.648731
0.3016,97,11.889523
0,50,12.501538
0,3,12.510135
0.9928,1,12.512942
0.5032,69,12.679356
0,7,12.696767
0,43,13.292269
0.7048,41,13.394769
0.9496,7,13.414073
0.8344,23,13.472371
0,2,13.478032
0.9712,4,13.488355
0,2,13.493388
0,3,13.501397
0.9352,9,13.524036
0,125,14.337584
0,5,14.350066
0,16,14.882461
0,3,14.890269
0.5464,63,15.04968
0.4672,74,15.718408
0.8992,14,15.753873
0,73,15.933208
0,15,16.510276
0.5536,62,16.665757
0,60,16.814876
0,14,17.416679
0.7552,34,17.500193
0.9712,4,17.509643
0.9928,1,17.512401
0.6616,47,17.624867
0.8704,18,17.669587
0,58,18.321268
0.9568,6,18.336622
0.7912,29,18.411072
0.9928,1,18.414212
0,8,18.434274
0,46,19.039018
0.8776,17,19.081291
0.9856,2,19.087015
0,5,19.101118
0,125,19.903411
0.9136,12,19.935343
0,49,20.055527
0.8416,22,20.108922
0.9856,2,20.114244
0,2,20.119375
0.9136,12,20.147796
0,2,20.153093
0,125,20.954525
0.9712,4,21.454054
0.9352,9,21.476127
0.5752,59,21.750235
0.9568,6,21.765617
0.7768,31,21.842124
0,8,21.863269
0,8,21.88339
0.3808,86,22.581319
0,5,22.593715
0,43,22.697882
0.856,20,23.237339
0.9856,2,23.242557
0,33,23.319153
0,30,23.393421
0.9784,3,23.400942
0.9064,13,23.434847
0.9856,2,23.439933
0.244,105,24.182005
0.964,5,24.194541
0,33,24.27698
0,125,25.069508
0,34,25.696731
0,17,25.741
0.6976,42,25.845957
0,1,25.848873
0,8,25.869272
0.9424,8,25.888975
0.9784,3,25.896333
0,4,25.907215
0,16,25.947405
0.748,35,26.603506
0.9856,2,26.608909
