#{"t_start": 1680216698.106551, "env_id": "MiniGrid-Unlock-v0"}
r,l,t
0,288,2.977945
0,288,4.936878
0,288,6.841334
0,288,8.887106
0,288,11.459486
0,288,13.393116
0,288,15.285182
0,288,17.286213
0,288,19.778439
0,288,21.731872
0,288,25.099619
0,288,27.031479
0.59375,130,28.622319
0.790625,67,28.78659
0,288,30.783443
0,288,33.277758
0.546875,145,34.228812
0.825,56,34.359196
0.7375,84,35.232557
0.65,112,36.081473
0.5,160,37.085693
0.475,168,38.157611
0.83125,54,38.846597
0.7125,92,39.069912
0.878125,39,39.734108
0.734375,85,39.939363
0.959375,13,39.972517
0.89375,34,40.621377
0.94375,18,40.66528
0.903125,31,40.740469
0.94375,18,40.784039
0.95625,14,40.818402
0.875,40,41.484596
0.91875,26,41.550794
0.93125,22,41.605416
0.928125,23,41.662982
0.915625,27,41.728456
0.73125,86,42.507373
0.903125,31,42.588246
0.95,16,42.62779
0.925,24,43.257571
0.91875,26,43.322594
0.853125,47,43.438341
0.91875,26,43.503691
0.73125,86,44.28065
0.78125,70,45.020749
0.85625,46,45.13358
0.94375,18,45.179411
0.971875,9,45.201796
0.93125,22,45.256496
0.9625,12,45.287321
0.85,48,45.976718
0.75625,78,46.180412
0.9625,12,46.775483
0.96875,10,46.801528
0.93125,22,46.857239
0.8125,60,47.00637
0.915625,27,47.243235
0.971875,9,47.833221
0.959375,13,47.86551
0.95625,14,47.900719
0.965625,11,47.929914
0.94375,18,47.97742
0.909375,29,48.050138
0.859375,45,48.728068
0.965625,11,48.756273
0.95625,14,48.791579
0.959375,13,48.824977
0.825,56,48.963943
0.86875,42,49.640402
0.915625,27,49.710781
0.890625,35,49.799353
0.940625,19,49.848959
0.95625,14,49.884097
0.91875,26,50.51808
0.9375,20,50.567467
0.959375,13,50.601025
0.946875,17,50.645419
0.959375,13,50.678389
0.846875,49,50.798806
0.965625,11,51.357875
0.94375,18,51.404959
0.8625,44,51.526998
0.90625,30,51.601593
0.946875,17,51.645056
0.94375,18,51.689831
0.953125,15,52.255007
0.96875,10,52.280268
0.94375,18,52.325447
0.96875,10,52.351671
0.871875,41,52.457417
0.925,24,52.519066
0.959375,13,53.11734
0.9375,20,53.167627
0.95,16,53.207721
0.971875,9,53.230396
0.95625,14,53.266029
0.915625,27,53.335016
0.971875,9,53.357143
0.940625,19,53.40712
0.94375,18,54.020289
0.978125,7,54.03847
0.959375,13,54.071965
0.95,16,54.112835
0.9625,12,54.143201
0.96875,10,54.168484
0.96875,10,54.194532
0.96875,10,54.220006
0.89375,34,54.307228
0.96875,10,54.898182
0.95,16,54.938384
0.965625,11,54.96549
0.896875,33,55.049503
0.953125,15,55.087364
0.959375,13,55.120822
0.9,32,55.203208
0.8,64,55.933038
0.95,16,55.973842
0.85,48,56.098602
0.946875,17,56.705395
0.884375,37,56.799683
0.915625,27,56.86893
0.953125,15,56.907145
0.934375,21,56.960358
0.9625,12,56.990848
0.93125,22,57.612256
0.959375,13,57.646326
0.946875,17,57.690904
0.9375,20,57.742693
0.928125,23,57.801048
0.9625,12,57.831885
0.971875,9,57.8549
0.953125,15,57.89356
0.93125,22,58.511919
0.934375,21,58.566205
0.978125,7,58.584371
0.9625,12,58.614298
0.96875,10,58.638813
0.95,16,58.680122
0.965625,11,58.708154
0.909375,29,58.781723
0.9375,20,59.398362
0.965625,11,59.426796
0.9625,12,59.457698
0.946875,17,59.501678
0.971875,9,59.524407
0.946875,17,59.568759
0.928125,23,59.625948
0.946875,17,59.672137
0.94375,18,60.28382
0.921875,25,60.350029
0.953125,15,60.38866
0.95625,14,60.425588
0.915625,27,60.49373
0.965625,11,60.521803
0.934375,21,60.574195
0.975,8,61.169152
0.971875,9,61.193399
0.971875,9,61.216902
0.971875,9,61.239865
0.975,8,61.259621
0.971875,9,61.283356
0.971875,9,61.305819
0.975,8,61.326305
0.978125,7,61.344396
0.925,24,61.406202
0.96875,10,61.431623
0.93125,22,62.050972
0.95625,14,62.085583
0.94375,18,62.132327
0.965625,11,62.160784
0.975,8,62.182165
0.95625,14,62.219201
0.91875,26,62.287129
0.9625,12,62.317679
0.959375,13,62.351227
0.95,16,62.955202
0.9875,4,62.965662
0.959375,13,62.998689
0.934375,21,63.053916
0.95625,14,63.091079
0.946875,17,63.1342
0.975,8,63.155019
0.9625,12,63.185218
0.95625,14,63.220612
0.953125,15,63.259369
0.965625,11,63.864177
0.96875,10,63.890846
0.940625,19,63.93994
0.965625,11,63.967978
0.959375,13,64.00229
0.984375,5,64.015388
0.925,24,64.07724
0.94375,18,64.123355
0.959375,13,64.15743
0.93125,22,64.780582
0.9625,12,64.811711
0.975,8,64.832126
0.975,8,64.852701
0.965625,11,64.880688
0.953125,15,64.918932
0.91875,26,64.987006
0.965625,11,65.015719
0.984375,5,65.028823
0.946875,17,65.07318
0.828125,55,65.78043
0.959375,13,65.813217
0.971875,9,65.83626
0.959375,13,65.86797
0.965625,11,65.896985
0.9625,12,65.928755
