#{"t_start": 1653001017.3256054, "env_id": "MountainCarContinuous-v0"}
r,l,t
96.389318,210,0.900044
96.92107,249,1.939749
94.518722,459,3.838043
96.300755,257,4.917276
97.490439,304,6.18536
94.263477,535,8.416613
-7.698013,999,12.548054
-13.900595,999,16.700403
-13.01066,999,20.897849
-3.929149,999,25.518589
-2.348898,999,30.547894
96.757071,361,32.340736
-3.384525,999,37.322418
96.678302,712,40.848594
95.482737,166,41.658398
93.26532,131,42.328689
92.607222,136,42.999382
90.679261,185,43.907265
91.905648,171,44.743344
94.649944,127,45.370716
93.040149,183,46.847764
94.331709,127,47.498312
95.633776,131,48.143387
95.802466,193,49.118688
92.361079,163,49.956311
95.578023,104,50.484477
92.666723,119,51.079258
93.529633,119,51.628053
92.535334,244,52.830065
92.034186,145,53.560987
92.457807,109,54.12999
96.373582,123,54.735599
93.621748,151,55.503299
94.036823,105,56.030869
94.505071,143,56.760402
93.215476,213,57.835837
95.48343,179,58.726687
94.67601,218,59.832598
97.002726,151,60.610556
94.12548,175,61.502455
92.696687,172,62.346502
93.703229,217,63.479958
94.085763,225,64.61049
95.801705,105,65.135225
92.231625,168,65.981284
91.304191,221,67.072695
93.82456,129,67.778538
94.149921,141,68.613298
92.731205,100,69.161022
92.793246,131,69.815729
95.018775,103,70.336882
92.65628,160,71.239128
93.55742,205,72.412443
93.596845,135,73.070103
94.393145,137,73.789921
92.111725,276,75.14777
90.549684,451,77.369124
91.785469,309,78.915891
92.006789,306,80.424436
95.231858,176,81.295071
96.334458,325,82.921044
95.045283,429,85.079051
94.674528,361,86.877955
93.83206,394,88.832341
89.488661,334,90.512099
91.886545,220,91.599463
89.723778,275,92.981781
93.811106,325,94.583743
95.086456,303,96.106613
