#{"t_start": 1653249455.1655164, "env_id": "Pendulum-v1"}
r,l,t
-1217.918575,200,1.515648
-1191.257536,200,4.385794
-1776.323844,200,7.279953
-1340.577476,200,11.554385
-1422.028899,200,15.979447
-1410.831881,200,19.809066
-1167.237843,200,24.476527
-1324.972111,200,29.610651
-1169.650631,200,34.630603
-1118.134772,200,39.132765
-646.856678,200,43.853111
-585.555777,200,49.265813
-131.444337,200,53.422627
-257.369902,200,58.039493
-259.892178,200,63.52785
-258.892765,200,69.037485
-1.098531,200,73.976325
-1.777265,200,78.394043
-2.088013,200,82.713216
-118.681192,200,87.644486
-1.010351,200,92.79879
-124.969406,200,97.145959
-0.797168,200,101.237352
-118.5922,200,105.175813
-1383.486296,200,109.076183
-121.964788,200,113.640049
-256.159497,200,120.326821
-1.377979,200,126.391851
-126.884186,200,131.582831
-118.491079,200,136.374995
-117.358632,200,141.275356
-114.486282,200,146.108603
-120.752197,200,150.8345
-1446.210495,200,155.543855
-121.526129,200,160.490794
-691.433025,200,165.747312
-303.127487,200,170.728979
-358.362592,200,175.286549
-233.317328,200,179.75664
-125.397025,200,184.228104
-366.796644,200,188.69407
-250.176685,200,193.374274
-125.868795,200,198.208653
-281.481188,200,203.341578
-125.424181,200,208.188273
-122.534542,200,212.87399
-121.128361,200,217.418473
-2.152,200,222.173976
-235.023745,200,226.947073
-259.75058,200,231.677525
-114.420084,200,236.839276
-2.041129,200,242.060934
-118.693408,200,247.146958
-121.581889,200,251.973605
-122.122838,200,256.817182
-223.593779,200,261.796903
-119.938409,200,266.499102
-119.184517,200,270.697923
-122.743773,200,275.324653
-119.820513,200,280.260757
-3.92572,200,284.495599
-123.078774,200,288.677864
-226.229747,200,292.803419
-122.635178,200,297.068635
-314.200014,200,301.269433
-119.558878,200,305.48784
-224.795561,200,309.749563
-124.823298,200,314.798463
-127.548615,200,319.479552
-1.918255,200,323.999974
-124.108844,200,328.683018
-119.948093,200,333.117931
-1.99624,200,337.528874
-246.319769,200,341.933083
-228.514578,200,346.436846
-118.529795,200,350.947915
-230.166785,200,355.075687
-244.277477,200,359.218526
-232.261898,200,363.404474
-115.052531,200,367.701406
-121.328384,200,371.964919
-125.190421,200,376.137627
-126.285998,200,380.307574
-239.975591,200,385.10121
-241.496293,200,390.370519
-2.18837,200,394.868813
-127.625349,200,399.177897
-119.980937,200,402.927674
-2.605956,200,406.682872
-124.433504,200,410.797403
-3.047545,200,414.831469
-1.589899,200,418.460885
-228.158663,200,422.139566
-123.256527,200,425.985527
-123.937759,200,429.725219
-240.943875,200,433.339049
-228.969245,200,436.990762
-235.163718,200,440.775894
-280.715211,200,444.402259
-246.992842,200,447.991141
